INT	STRING	INT	INT	INT	INT
编号	名字				
1	毛泽东	1	1	1	1
2	毛厕洞	1	1	1	1
3	毛贼东	1	1	1	1
4	胡锦涛	1	1	1	1
5	锦涛	1	1	1	1
6	胡紧掏	1	1	1	1
7	胡锦滔	1	1	1	1
8	胡锦淘	1	1	1	1
9	胡景涛	1	1	1	1
10	周恩来	1	1	1	1
11	刘少奇	1	1	1	1
12	朱德	1	1	1	1
13	彭德怀	1	1	1	1
14	林彪	1	1	1	1
15	刘伯承	1	1	1	1
16	陈毅	1	1	1	1
17	贺龙	1	1	1	1
18	聂荣臻	1	1	1	1
19	徐向前	1	1	1	1
20	罗荣桓	1	1	1	1
21	叶剑英	1	1	1	1
22	李大钊	1	1	1	1
23	陈独秀	1	1	1	1
24	孙中山	1	1	1	1
25	孙文	1	1	1	1
26	孙逸仙	1	1	1	1
27	邓小平	1	1	1	1
28	陈云	1	1	1	1
29	李鹏	1	1	1	1
30	朱镕基	1	1	1	1
31	朱狨基	1	1	1	1
32	朱容基	1	1	1	1
33	朱溶剂	1	1	1	1
34	李瑞环	1	1	1	1
35	尉健行	1	1	1	1
36	李岚清	1	1	1	1
37	罗干	1	1	1	1
38	温家宝	1	1	1	1
39	吴邦国	1	1	1	1
40	曾庆红	1	1	1	1
41	贾庆林	1	1	1	1
42	黄菊	1	1	1	1
43	吴官正	1	1	1	1
44	李长春	1	1	1	1
45	吴仪	1	1	1	1
46	回良玉	1	1	1	1
47	曾培炎	1	1	1	1
48	周永康	1	1	1	1
49	曹刚川	1	1	1	1
50	唐家璇	1	1	1	1
51	华建敏	1	1	1	1
52	陈至立	1	1	1	1
53	陈良宇	1	1	1	1
54	张德江	1	1	1	1
55	张立昌	1	1	1	1
56	俞正声	1	1	1	1
57	王乐泉	1	1	1	1
58	刘云山	1	1	1	1
59	王刚	1	1	1	1
60	王兆国	1	1	1	1
61	刘淇	1	1	1	1
62	贺国强	1	1	1	1
63	郭伯雄	1	1	1	1
64	胡耀邦	1	1	1	1
65	连战	1	1	1	1
66	蒋介石	1	1	1	1
67	蒋中正	1	1	1	1
68	蒋经国	1	1	1	1
69	马英九	1	1	1	1
70	习近平	1	1	1	1
71	李克强	1	1	1	1
72	吴帮国	1	1	1	1
73	无帮国	1	1	1	1
74	无邦国	1	1	1	1
75	无帮过	1	1	1	1
76	瘟家宝	1	1	1	1
77	假庆林	1	1	1	1
78	甲庆林	1	1	1	1
79	假青林	1	1	1	1
80	离长春	1	1	1	1
81	习远平	1	1	1	1
82	袭近平	1	1	1	1
83	李磕墙	1	1	1	1
84	贺过墙	1	1	1	1
85	和锅枪	1	1	1	1
86	粥永康	1	1	1	1
87	轴永康	1	1	1	1
88	肘永康	1	1	1	1
89	赫鲁晓夫	1	1	1	1
90	列宁	1	1	1	1
91	斯大林	1	1	1	1
92	马克思	1	1	1	1
93	恩格斯	1	1	1	1
94	金正日	1	1	1	1
95	金日成	1	1	1	1
96	班禅	1	1	1	1
97	额尔德尼	1	1	1	1
98	民运	1	1	1	1
99	六四运动	1	1	1	1
100	民主潮	1	1	1	1
101	南华早报	1	1	1	1
102	人民报讯	1	1	1	1
103	人民报	1	1	1	1
104	天安门事件	1	1	1	1
105	学潮	1	1	1	1
106	学联	1	1	1	1
107	学运	1	1	1	1
108	学自联	1	1	1	1
109	政治反对派	1	1	1	1
110	民主党	1	1	1	1
111	中国之春	1	1	1	1
112	高治联	1	1	1	1
113	高自联	1	1	1	1
114	赵紫阳	1	1	1	1
115	高丽朴	1	1	1	1
116	柴玲	1	1	1	1
117	王丹	1	1	1	1
118	沃尔开西	1	1	1	1
119	大中华论坛	1	1	1	1
120	大众真人真事	1	1	1	1
121	工自联	1	1	1	1
122	华通时事论坛	1	1	1	1
123	华夏文摘	1	1	1	1
124	华语世界论坛	1	1	1	1
125	华岳时事论坛	1	1	1	1
126	人民之声论坛	1	1	1	1
127	天安门录影带	1	1	1	1
128	天安门屠杀	1	1	1	1
129	天安门一代	1	1	1	1
130	新华通论坛	1	1	1	1
131	自由民主论坛	1	1	1	1
132	民阵	1	1	1	1
133	北大三角地论坛	1	1	1	1
134	热站政论网	1	1	1	1
135	世界经济导报	1	1	1	1
136	万维读者论坛	1	1	1	1
137	新观察论坛	1	1	1	1
138	中国问题论坛	1	1	1	1
139	钟山风雨论坛	1	1	1	1
140	E周刊	1	1	1	1
141	美国参考	1	1	1	1
142	人民大众时事参考	1	1	1	1
143	美国之音	1	1	1	1
144	北美自由论坛	1	1	1	1
145	人民内情真相	1	1	1	1
146	新闻封锁	1	1	1	1
147	鸡毛信文汇	1	1	1	1
148	新华举报	1	1	1	1
149	新华内情	1	1	1	1
150	广闻	1	1	1	1
151	联总之声传单	1	1	1	1
152	人民真实	1	1	1	1
153	大纪元	1	1	1	1
154	大纪元新闻网	1	1	1	1
155	大纪园	1	1	1	1
156	大家论坛	1	1	1	1
157	大中国论坛	1	1	1	1
158	东北独立	1	1	1	1
159	东方红时空	1	1	1	1
160	东方时空	1	1	1	1
161	东南西北论谈	1	1	1	1
162	东西南北论坛	1	1	1	1
163	风雨神州论坛	1	1	1	1
164	风雨神州	1	1	1	1
165	联总	1	1	1	1
166	廉政大论坛	1	1	1	1
167	自由运动	1	1	1	1
168	南大自由论坛	1	1	1	1
169	你说我说论坛	1	1	1	1
170	轻舟快讯	1	1	1	1
171	时代论坛	1	1	1	1
172	时事论坛	1	1	1	1
173	数据中国	1	1	1	1
174	外交论坛	1	1	1	1
175	外交与方略	1	1	1	1
176	无界浏览器	1	1	1	1
177	新生网	1	1	1	1
178	新义安	1	1	1	1
179	新语丝	1	1	1	1
180	央视内部晚会	1	1	1	1
181	异见人士	1	1	1	1
182	异议人士	1	1	1	1
183	舆论反制	1	1	1	1
184	舆论	1	1	1	1
185	宇明网	1	1	1	1
186	争鸣论坛	1	1	1	1
187	正见网	1	1	1	1
188	正义党论坛	1	1	1	1
189	指点江山论坛	1	1	1	1
190	中俄边界	1	1	1	1
191	中国复兴论坛	1	1	1	1
192	中国孤儿院	1	1	1	1
193	中国和平	1	1	1	1
194	中国论坛	1	1	1	1
195	中国社会进步党	1	1	1	1
196	中国社会论坛	1	1	1	1
197	中国威胁论	1	1	1	1
198	中国真实内容	1	1	1	1
199	中国猪	1	1	1	1
200	中华讲清	1	1	1	1
201	中华民国	1	1	1	1
202	中华人民实话实说	1	1	1	1
203	中华人民正邪	1	1	1	1
204	中华时事	1	1	1	1
205	中华养生益智功	1	1	1	1
206	中华真实报道	1	1	1	1
207	人权	1	1	1	1
208	民猪	1	1	1	1
209	起义	1	1	1	1
210	示威	1	1	1	1
211	屠杀	1	1	1	1
212	专政	1	1	1	1
213	独裁	1	1	1	1
214	造反	1	1	1	1
215	镇压	1	1	1	1
216	政变	1	1	1	1
217	政治犯	1	1	1	1
218	反党	1	1	1	1
219	纳粹	1	1	1	1
220	太子党	1	1	1	1
221	新党	1	1	1	1
222	北京当局	1	1	1	1
223	持不同政见	1	1	1	1
224	政见	1	1	1	1
225	独裁政治	1	1	1	1
226	独夫	1	1	1	1
227	反封锁技术	1	1	1	1
228	反腐败论坛	1	1	1	1
229	反人类	1	1	1	1
230	反社会	1	1	1	1
231	黑社会	1	1	1	1
232	黑手党	1	1	1	1
233	劳动教养所	1	1	1	1
234	劳改	1	1	1	1
235	劳教	1	1	1	1
236	卖国	1	1	1	1
237	法轮功	1	1	1	1
238	法轮	1	1	1	1
239	大法	1	1	1	1
240	李宏志	1	1	1	1
241	李洪志	1	1	1	1
242	李大师	1	1	1	1
243	真善忍	1	1	1	1
244	圆满	1	1	1	1
245	宏志	1	1	1	1
246	发伦	1	1	1	1
247	发抡	1	1	1	1
248	发沦	1	1	1	1
249	法伦	1	1	1	1
250	法抡	1	1	1	1
251	法囵	1	1	1	1
252	法仑	1	1	1	1
253	法纶	1	1	1	1
254	发仑	1	1	1	1
255	发囵	1	1	1	1
256	法轮大法	1	1	1	1
257	fa轮	1	1	1	1
258	正法	1	1	1	1
259	静坐	1	1	1	1
260	自焚	1	1	1	1
261	发轮功	1	1	1	1
262	发轮	1	1	1	1
263	功友	1	1	1	1
264	明慧	1	1	1	1
265	大法弟子	1	1	1	1
266	三去车仑工力	1	1	1	1
267	氵去车仑工力	1	1	1	1
268	达赖	1	1	1	1
269	达癞	1	1	1	1
270	达赖喇嘛	1	1	1	1
271	密宗	1	1	1	1
272	西藏独立	1	1	1	1
273	西藏分裂	1	1	1	1
274	西藏国	1	1	1	1
275	藏独	1	1	1	1
276	藏青会	1	1	1	1
277	藏妇会	1	1	1	1
278	西藏独	1	1	1	1
279	達癩	1	1	1	1
280	藏獨	1	1	1	1
281	西藏獨	1	1	1	1
282	嫖娼	1	1	1	1
283	谋杀	1	1	1	1
284	杀人	1	1	1	1
285	吸毒	1	1	1	1
286	贩毒	1	1	1	1
287	赌博	1	1	1	1
288	拐卖	1	1	1	1
289	走私	1	1	1	1
290	卖淫	1	1	1	1
291	强奸	1	1	1	1
292	抢劫	1	1	1	1
293	先奸后杀	1	1	1	1
294	盗窃	1	1	1	1
295	杀你全家	1	1	1	1
296	杀你一家	1	1	1	1
297	杀人犯	1	1	1	1
298	抽头	1	1	1	1
299	坐庄	1	1	1	1
300	赌马	1	1	1	1
301	赌球	1	1	1	1
302	老虎机	1	1	1	1
303	轮盘赌	1	1	1	1
304	安非他命	1	1	1	1
305	大麻	1	1	1	1
306	可卡因	1	1	1	1
307	海洛因	1	1	1	1
308	冰毒	1	1	1	1
309	摇头丸	1	1	1	1
310	杜冷丁	1	1	1	1
311	鸦片	1	1	1	1
312	罂粟	1	1	1	1
313	迷幻药	1	1	1	1
314	白粉	1	1	1	1
315	嗑药	1	1	1	1
316	盜竊	1	1	1	1
317	殺你全家	1	1	1	1
318	殺你一家	1	1	1	1
319	殺人犯	1	1	1	1
320	释迦牟尼	1	1	1	1
321	回教	1	1	1	1
322	摩门教	1	1	1	1
323	穆罕默德	1	1	1	1
324	穆斯林	1	1	1	1
325	升天	1	1	1	1
326	圣母	1	1	1	1
327	圣战	1	1	1	1
328	耶和华	1	1	1	1
329	耶稣	1	1	1	1
330	伊斯兰	1	1	1	1
331	伊斯兰亚格林尼斯	1	1	1	1
332	真主安拉	1	1	1	1
